Isolate ID	Quality Module	Genotype	Predicted Phenotype	CGE Predicted Phenotype	Plasmid	Scheme	Sequence Type	Genome Length	N50 value	Number of Contigs Greater Than Or Equal To 300 bp	Quality Module Feedback
GCA_036529935.1_ASM3652993v1_genomic	Failed	aac(6')-Ib3, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-488, blaPAO, catB7, CmlA9, cmx, fosA, rmtF	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, gentamicin	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Unknown Beta-lactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Gentamicin	None	paeruginosa	1047	6938582	106976	258	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036529955.1_ASM3652995v1_genomic	Failed	aadA6, aph(3')-IIb, blaOXA-488, blaPAO, catB7, fosA	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Spectinomycin, Streptomycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	235	7123804	83498	211	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036529995.1_ASM3652999v1_genomic	Failed	aac(6')-Ib3, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-395, blaPAO, catB7, CmlA9, fosA, rmtF, tet(G)	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, gentamicin, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Gentamicin, Doxycycline, Tetracycline	None	paeruginosa	316	6907185	76253	211	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530035.1_ASM3653003v1_genomic	Failed	aac(6')-Il, aph(3')-IIb, aph(3')-VI, ARR-3, blaOXA-50, blaPAO, catB7, CmlA7, CmlA9, crpP, dfrB2, fosA, rmtB, tet(A), tet(G)	gentamicin, kanamycin, amikacin, rifampicin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA7_1_JQ639792], unknown[CmlA9_1_JN406319], ciprofloxacin I/R, trimethoprim, fosfomycin, streptomycin, tetracycline	Amikacin, Tobramycin, Unknown Aminoglycoside, Rifampicin, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Gentamicin, Kanamycin, Arbekacin, Sisomicin, Isepamicin, Doxycycline, Tetracycline	None	paeruginosa	357	6759852	73883	224	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530115.1_ASM3653011v1_genomic	Failed	aac(3)-Id, aac(6')-Il, aadA11, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaNDM-1, blaOXA-488, blaPAO, catB7, CmlA9, dfrB5, FloR, fosA, msr(E), qnrVC1, rmtB, sul1, sul2, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], trimethoprim, unknown[FloR_4_CP136914], fosfomycin, erythromycin, azithromycin, ciprofloxacin I/R, amikacin, sulfisoxazole, tetracycline	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Spectinomycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Unknown Beta-lactam, Chloramphenicol, Trimethoprim, Florphenicol, Fosfomycin, Erythromycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S, Ciprofloxacin, Arbekacin, Sisomicin, Isepamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	308	6868075	82924	177	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530135.1_ASM3653013v1_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO, catB7, crpP, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin	None	paeruginosa	235	6878380	95907	217	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530175.1_ASM3653017v1_genomic	Failed	aac(6')-Il, aph(3')-IIb, ARR-3, blaNDM-1, blaOXA-50, blaPAO, catB7, CmlA7, crpP, dfrB2, fosA, tet(A)	gentamicin, kanamycin, rifampicin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA7_1_JQ639792], ciprofloxacin I/R, trimethoprim, fosfomycin, tetracycline	Amikacin, Tobramycin, Unknown Aminoglycoside, Rifampicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Doxycycline, Tetracycline	None	paeruginosa	357	6626583	92386	181	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530195.1_ASM3653019v1_genomic	Failed	aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-488, blaPAO, catB7, fosA, sul1	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, sulfisoxazole	Streptomycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	1047	7003507	99169	225	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530255.1_ASM3653025v1_genomic	Failed	aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-488, blaPAO, blaVIM-2, catB7, fosA	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, fosfomycin	Streptomycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Chloramphenicol, Fosfomycin	None	paeruginosa	1047	7345630	100254	224	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530275.1_ASM3653027v1_genomic	Failed	aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, catB7, fosA, rmtF	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, amikacin, gentamicin, streptomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Amikacin, Gentamicin, Tobramycin	None	paeruginosa	664	6984556	94898	192	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530295.1_ASM3653029v1_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaOXA-488, blaPAO, catB7, fosA, rmtF, sul1	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, fosfomycin, amikacin, sulfisoxazole	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Unknown Beta-lactam, Cefepime, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole	None	paeruginosa	1047	7289962	46391	352	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530315.1_ASM3653031v1_genomic	Failed	aac(6')-Il, aph(3')-IIb, aph(3')-VI, ARR-3, blaOXA-50, blaPAO, blaVEB-1, catB7, CmlA7, CmlA9, crpP, dfrB2, fosA, rmtB, tet(A), tet(G)	gentamicin, kanamycin, amikacin, rifampicin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA7_1_JQ639792], unknown[CmlA9_1_JN406319], ciprofloxacin I/R, trimethoprim, fosfomycin, streptomycin, tetracycline	Amikacin, Tobramycin, Unknown Aminoglycoside, Rifampicin, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Aztreonam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Gentamicin, Kanamycin, Arbekacin, Sisomicin, Isepamicin, Doxycycline, Tetracycline	None	paeruginosa	357	6812924	89257	196	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530335.1_ASM3653033v1_genomic	Failed	aac(6')-Ib3, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-395, blaPAO, catB7, CmlA9, fosA, rmtF, tet(G)	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, gentamicin, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Gentamicin, Doxycycline, Tetracycline	None	paeruginosa	316	6790866	74897	215	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530355.1_ASM3653035v1_genomic	Failed	aac(6')-Ib3, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-395, blaPAO, catB7, CmlA9, fosA, rmtF, tet(G)	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, gentamicin, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Gentamicin, Doxycycline, Tetracycline	None	paeruginosa	316	6934498	85894	211	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530855.1_ASM3653085v1_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	254	6208079	181751	100	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530915.1_ASM3653091v1_genomic	Failed	aph(3')-IIb, blaOXA-486, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	234	6432131	99537	166	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530955.1_ASM3653095v1_genomic	Failed	aac(6')-Ib3, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-488, blaPAO, catB7, CmlA9, fosA, rmtF, tet(G)	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, gentamicin, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Unknown Beta-lactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Gentamicin, Doxycycline, Tetracycline	None	paeruginosa	1047	6938740	124079	276	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530975.1_ASM3653097v1_genomic	Failed	aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, catB7, fosA, rmtF, sul1	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, amikacin, gentamicin, streptomycin, sulfisoxazole	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Amikacin, Gentamicin, Tobramycin, Sulfamethoxazole	None	paeruginosa	664	6956169	106392	178	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036530995.1_ASM3653099v1_genomic	Failed	aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, catB7, fosA, rmtF	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, amikacin, gentamicin, streptomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Amikacin, Gentamicin, Tobramycin	None	paeruginosa	664	6968147	78032	221	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531015.1_ASM3653101v1_genomic	Failed	aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, catB7, fosA, rmtF	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, amikacin, gentamicin, streptomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Amikacin, Gentamicin, Tobramycin	None	paeruginosa	664	6988196	124439	162	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531035.1_ASM3653103v1_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaOXA-488, blaPAO, catB7, fosA, rmtF, sul1	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, fosfomycin, amikacin, sulfisoxazole	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Unknown Beta-lactam, Cefepime, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole	None	paeruginosa	1047	7386879	68737	274	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531055.1_ASM3653105v1_genomic	Failed	aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, catB7, fosA, rmtF	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, amikacin, gentamicin, streptomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Amikacin, Gentamicin, Tobramycin	None	paeruginosa	664	6929410	94366	188	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531075.1_ASM3653107v1_genomic	Failed	aph(3')-IIb, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	-	6764443	94898	191	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531095.1_ASM3653109v1_genomic	Failed	aac(6')-Ib3, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-395, blaPAO, catB7, CmlA9, fosA, rmtF, tet(G)	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, gentamicin, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Gentamicin, Doxycycline, Tetracycline	None	paeruginosa	316	6818360	83364	197	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531355.1_ASM3653135v1_genomic	Failed	ant(2'')-Ia, aph(3'')-Ib, aph(3')-IIb, aph(3')-VI, aph(6)-Id, blaPAO, catB7, CmlA9, dfrA1, fosA, qnrVC1, tet(G)	gentamicin, streptomycin, kanamycin, amikacin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], trimethoprim, fosfomycin, ciprofloxacin I/R, tetracycline	Gentamicin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amikacin, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Trimethoprim, Fosfomycin, Ciprofloxacin, Doxycycline, Tetracycline	None	paeruginosa	-	6801335	68676	265	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531375.1_ASM3653137v1_genomic	Failed	ant(2'')-Ia, aph(3')-IIb, aph(3')-VI, blaOXA-488, blaPAO, catB7, CmlA9, dfrA1, fosA, qnrVC1, sul1, tet(G)	gentamicin, kanamycin, amikacin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], trimethoprim, fosfomycin, ciprofloxacin I/R, sulfisoxazole, tetracycline	Gentamicin, Tobramycin, Unknown Aminoglycoside, Amikacin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Trimethoprim, Fosfomycin, Ciprofloxacin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	1047	6968506	93223	243	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531415.1_ASM3653141v1_genomic	Failed	aac(3)-Id, aac(6')-Ib3, aac(6')-Il, aadA11, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaNDM-1, blaOXA-10, blaOXA-488, blaPAO, catB7, crpP, dfrB5, FloR, fosA, qnrVC1, rmtF, sul1, sul2	gentamicin, amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, ciprofloxacin I/R, trimethoprim, unknown[FloR_4_CP136914], fosfomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Spectinomycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Aztreonam, Unknown Beta-lactam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Florphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	308	6861496	92155	207	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036531435.1_ASM3653143v1_genomic	Failed	aac(3)-Id, aac(6')-Il, aph(3'')-Ib, aph(6)-Id, blaOXA-488, blaVIM-2, catB7, crpP, dfrB5, fosA, sul2	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Streptomycin, Unknown Beta-lactam, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole	None	paeruginosa	823	6662273	67003	242	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036543645.1_ASM3654364v1_genomic	Failed	aac(6')-Ib3, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, catB7, CmlA9, dfrA15, fosA, mph(A), rmtF, rmtF, sul1, tet(G)	amikacin, tobramycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], trimethoprim, fosfomycin, erythromycin, azithromycin, gentamicin, streptomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Chloramphenicol, Trimethoprim, Fosfomycin, Erythromycin, Azithromycin, Spiramycin, Telithromycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	664	7013666	185560	159	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036553165.1_ASM3655316v1_genomic	Failed	aac(6')-Il, aph(3')-IIb, aph(3')-VI, ARR-3, blaOXA-50, blaPAO, blaVEB-1, catB7, CmlA7, CmlA9, crpP, dfrB2, fosA, rmtB, tet(A), tet(G)	gentamicin, kanamycin, amikacin, rifampicin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA7_1_JQ639792], unknown[CmlA9_1_JN406319], ciprofloxacin I/R, trimethoprim, fosfomycin, streptomycin, tetracycline	Amikacin, Tobramycin, Unknown Aminoglycoside, Rifampicin, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Aztreonam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Gentamicin, Kanamycin, Arbekacin, Sisomicin, Isepamicin, Doxycycline, Tetracycline	None	paeruginosa	357	6830140	200357	125	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036866965.1_ASM3686696v1_genomic	Failed	aac(6')-Ib3, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, catB7, CmlA9, dfrA15, fosA, mph(A), rmtF, sul1, tet(G)	amikacin, tobramycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], trimethoprim, fosfomycin, erythromycin, azithromycin, gentamicin, streptomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Chloramphenicol, Trimethoprim, Fosfomycin, Erythromycin, Azithromycin, Spiramycin, Telithromycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	664	7020895	109645	155	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036866995.1_ASM3686699v1_genomic	Failed	aadA6, aph(3')-IIb, blaIMP-1b, blaOXA-10, blaOXA-50, blaPAO, catB7, dfrA15, fosA, rmtF, sul1	streptomycin, kanamycin, unknown[blaIMP-1b_1_MK388919], ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, trimethoprim, fosfomycin, amikacin, gentamicin, sulfisoxazole	Spectinomycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Aztreonam, Chloramphenicol, Trimethoprim, Fosfomycin, Amikacin, Gentamicin, Tobramycin, Sulfamethoxazole	None	paeruginosa	4936	6837528	122217	149	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036867075.1_ASM3686707v1_genomic	Failed	aac(6')-Ib3, aadA6, ant(2'')-Ia, aph(3')-IIb, aph(3')-VI, blaIMP-1b, blaNDM-1, blaOXA-10, blaOXA-50, blaPAO, blaPME-1, catB7, dfrA15, fosA, qnrVC1, rmtF, sul1	amikacin, tobramycin, streptomycin, gentamicin, kanamycin, unknown[blaIMP-1b_1_MK388919], ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, trimethoprim, fosfomycin, ciprofloxacin I/R, sulfisoxazole	Amikacin, Tobramycin, Spectinomycin, Streptomycin, Gentamicin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ceftazidime+Avibactam, Temocillin, Aztreonam, Chloramphenicol, Trimethoprim, Fosfomycin, Ciprofloxacin, Sulfamethoxazole	None	paeruginosa	4936	7010126	122217	150	Genome length is not within the acceptable length range [4000000,6000000]
GCA_036867235.1_ASM3686723v1_genomic	Failed	aac(6')-Ib3, aadA6, ant(2'')-Ia, aph(3')-IIb, aph(3')-VI, blaIMP-1b, blaNDM-1, blaOXA-10, blaOXA-50, blaPAO, blaPME-1, catB7, crpP, dfrA15, fosA, qnrVC1, rmtF, sul1	amikacin, tobramycin, streptomycin, gentamicin, kanamycin, unknown[blaIMP-1b_1_MK388919], ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole	Amikacin, Tobramycin, Spectinomycin, Streptomycin, Gentamicin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ceftazidime+Avibactam, Temocillin, Aztreonam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole	None	paeruginosa	4936	6940793	106011	242	Genome length is not within the acceptable length range [4000000,6000000]
